Unnamed: 0,file,emotion,speaker,duration_adjusted
0,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,neu,1_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav
1,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,neu,1_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav
2,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,neu,1_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav
5,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,neu,1_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav
12,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,ang,1_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav
14,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,neu,1_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav
27,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,ang,1_M,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav
29,Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,ang,1_M,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav
30,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav
31,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav
32,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav
33,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,neu,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav
34,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav
35,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav
36,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,neu,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav
38,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav
40,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav
42,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav
43,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav
44,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav
45,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav
46,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,neu,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav
47,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,sad,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav
48,Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,neu,2_F,D:/openac/Final Project/Datasets/IEMOCAP_norm_and_fixedduration/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav
